#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
5666729235753115064,3.08286e-41,1.58347e-43,0,1.4013e-43,0,-1.42396e-18
-8953335399567364008,0,0,0,-0.0273438,0.0078125,-0.00390625
-8953335399561533008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335399553323008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335399547035008,0,0,0,-0.0273438,0.0078125,-0.00390625
-8953335399539465008,0,0,0,-0.0273438,0.0078125,-0.00390625
-8953335399533858008,0,0,0,-0.0273438,0.0078125,0.0351562
-8953335399524567008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335399516479008,0,0,0,-0.0273438,-0.03125,0.0351562
-8953335399509215008,0,0,0,-0.0273438,-0.03125,0.0351562
-8953335399502869008,0,0,0,0.0117188,0.0078125,-0.0429688
-8953335399498005008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335399493151008,0,0,0,-0.0273438,-0.03125,-0.00390625
-8953335399488289008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335399483296008,0,0,0,0.0117188,0.046875,-0.00390625
-8953335399478363008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335399473360008,0,0,0,0.0117188,-0.03125,-0.00390625
-8953335399468187008,0,0,0,-0.0273438,0.0078125,0.0351562
-8953335399463337008,0,0,0,-0.0273438,0.0078125,-0.00390625
-8953335399458379008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335399453328008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335399448215008,0,0,0,-0.0273438,0.0078125,-0.0429688
-8953335399443312008,0,0,0,0.0117188,0.0078125,-0.0429688
-8953335399438382008,0,0,0,0.0117188,0.0078125,0.0742188
-8953335399433301008,0,0,0,0.0117188,0.0078125,-0.0429688
-8953335399428297008,0,0,0,0.0117188,0.0078125,-0.00390625
